2026-03-13 17:22:38 | INFO     | src.attack_engine | DoS attack cancelled after 3 events
2026-03-13 17:22:38 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/dos "HTTP/1.1 200 OK"
2026-03-13 17:22:38 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/telemetry?limit=10 "HTTP/1.1 404 Not Found"
2026-03-13 17:31:02 | INFO     | analytics.anomaly_detector | Created new Isolation Forest model
2026-03-13 17:31:02 | INFO     | analytics.cyber_attack_classifier | Created new Random Forest classifier
2026-03-13 17:31:03 | INFO     | analytics.anomaly_detector | Created new Isolation Forest model
2026-03-13 17:31:03 | INFO     | analytics.anomaly_detector | Created new Isolation Forest model
2026-03-13 17:31:03 | ERROR    | analytics.anomaly_detector | Detection failed: This IsolationForest instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
Traceback (most recent call last):
  File "C:\Users\Shailendra\Desktop\RT_BLE_CAN_Gateway_Project\analytics\anomaly_detector.py", line 164, in detect
    predictions = self.model.predict(X)  # -1 = anomaly, 1 = normal
                  ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Shailendra\Desktop\RT_BLE_CAN_Gateway_Project\venv\Lib\site-packages\sklearn\ensemble\_iforest.py", line 370, in predict
    check_is_fitted(self)
  File "C:\Users\Shailendra\Desktop\RT_BLE_CAN_Gateway_Project\venv\Lib\site-packages\sklearn\utils\validation.py", line 1461, in check_is_fitted
    raise NotFittedError(msg % {"name": type(estimator).__name__})
sklearn.exceptions.NotFittedError: This IsolationForest instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/api/gateway/status "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | INFO     | backend.routers.gateway | Starting gateway...
2026-03-13 17:31:03 | INFO     | src.gateway | Starting gateway...
2026-03-13 17:31:03 | INFO     | src.ble_receiver | Starting BLEReceiver
2026-03-13 17:31:03 | INFO     | src.ble_receiver | BLEReceiver started successfully
2026-03-13 17:31:03 | INFO     | src.can_translator | CAN bus initialized: virtual
2026-03-13 17:31:03 | INFO     | src.can_translator | Starting CANTranslator (attack_mode=None)
2026-03-13 17:31:03 | INFO     | src.can_translator | CANTranslator started successfully
2026-03-13 17:31:03 | INFO     | core.metrics_engine | MetricsEngine started
2026-03-13 17:31:03 | INFO     | src.gateway | Gateway fully started
2026-03-13 17:31:03 | INFO     | backend.routers.gateway | Gateway started successfully
2026-03-13 17:31:03 | INFO     | src.ble_receiver | UDP forward starting: 127.0.0.1:5005
2026-03-13 17:31:03 | INFO     | src.ble_receiver | BLE simulation starting
2026-03-13 17:31:03 | INFO     | src.can_translator | UDP receiver listening on 127.0.0.1:5005
2026-03-13 17:31:03 | INFO     | src.can_translator | CAN process loop started
2026-03-13 17:31:03 | INFO     | core.metrics_engine | Metrics collection started (interval=5.0s)
2026-03-13 17:31:03 | INFO     | src.can_translator | UDP receiver loop ended
2026-03-13 17:31:03 | INFO     | src.ble_receiver | UDP forward loop ended (sent=0, dropped=0)
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/start "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | INFO     | backend.routers.gateway | Stopping gateway...
2026-03-13 17:31:03 | INFO     | src.gateway | Stopping gateway...
2026-03-13 17:31:03 | INFO     | src.ble_receiver | Stopping BLEReceiver
2026-03-13 17:31:03 | INFO     | src.ble_receiver | BLEReceiver stopped (packets=0)
2026-03-13 17:31:03 | INFO     | src.can_translator | Stopping CANTranslator
2026-03-13 17:31:03 | INFO     | src.can_translator | CANTranslator stopped (packets=0, errors=0)
2026-03-13 17:31:03 | INFO     | core.metrics_engine | MetricsEngine stopped
2026-03-13 17:31:03 | INFO     | src.gateway | Gateway stopped
2026-03-13 17:31:03 | INFO     | backend.routers.gateway | Gateway stopped successfully
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/stop "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/api/gateway/health "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | WARNING  | backend.routers.gateway | Activating attack mode: dos
2026-03-13 17:31:03 | WARNING  | src.gateway | Attack mode activated: dos
2026-03-13 17:31:03 | WARNING  | src.attack_engine | Starting DoS attack: 3.0s @ 80 Hz
2026-03-13 17:31:03 | INFO     | src.attack_engine | DoS attack cancelled after 3 events
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/dos "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | WARNING  | backend.routers.gateway | Invalid attack mode requested: invalid
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/invalid "HTTP/1.1 422 Unprocessable Entity"
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/telemetry?limit=10 "HTTP/1.1 404 Not Found"
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/telemetry?limit=20&offset=10 "HTTP/1.1 404 Not Found"
2026-03-13 17:31:03 | WARNING  | analytics.utils | Cannot extract features from empty DataFrame
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/anomalies/detect?limit=100 "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-03-13 17:31:03 | INFO     | httpx | HTTP Request: GET http://testserver/status "HTTP/1.1 200 OK"
2026-03-13 17:31:04 | INFO     | httpx | HTTP Request: GET http://testserver/api/gateway/status "HTTP/1.1 200 OK"
2026-03-13 17:31:04 | INFO     | backend.routers.gateway | Starting gateway...
2026-03-13 17:31:04 | INFO     | src.gateway | Starting gateway...
2026-03-13 17:31:04 | INFO     | src.ble_receiver | Starting BLEReceiver
2026-03-13 17:31:04 | INFO     | src.ble_receiver | BLEReceiver started successfully
2026-03-13 17:31:04 | INFO     | src.can_translator | CAN bus initialized: virtual
2026-03-13 17:31:04 | INFO     | src.can_translator | Starting CANTranslator (attack_mode=dos)
2026-03-13 17:31:04 | INFO     | src.can_translator | CANTranslator started successfully
2026-03-13 17:31:04 | INFO     | core.metrics_engine | MetricsEngine started
2026-03-13 17:31:04 | INFO     | src.gateway | Gateway fully started
2026-03-13 17:31:04 | INFO     | backend.routers.gateway | Gateway started successfully
2026-03-13 17:31:04 | INFO     | src.ble_receiver | UDP forward starting: 127.0.0.1:5005
2026-03-13 17:31:04 | INFO     | src.ble_receiver | BLE simulation starting
2026-03-13 17:31:04 | INFO     | src.can_translator | UDP receiver listening on 127.0.0.1:5005
2026-03-13 17:31:04 | INFO     | src.can_translator | CAN process loop started
2026-03-13 17:31:04 | INFO     | core.metrics_engine | Metrics collection started (interval=5.0s)
2026-03-13 17:31:04 | INFO     | src.ble_receiver | UDP forward loop ended (sent=0, dropped=0)
2026-03-13 17:31:04 | INFO     | src.can_translator | UDP receiver loop ended
2026-03-13 17:31:04 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/start "HTTP/1.1 200 OK"
2026-03-13 17:31:04 | WARNING  | backend.routers.gateway | Activating attack mode: dos
2026-03-13 17:31:04 | WARNING  | src.gateway | Attack mode activated: dos
2026-03-13 17:31:04 | WARNING  | src.attack_engine | Starting DoS attack: 3.0s @ 80 Hz
2026-03-13 17:31:04 | INFO     | src.attack_engine | DoS attack cancelled after 3 events
2026-03-13 17:31:04 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/dos "HTTP/1.1 200 OK"
2026-03-13 17:31:04 | WARNING  | analytics.utils | Cannot extract features from empty DataFrame
2026-03-13 17:31:04 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/anomalies/detect?limit=100 "HTTP/1.1 200 OK"
